Sport,Game_Type,Entry,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
CBB,Classic,CBB $2K And-One,2/24/2022,28,253.25,6.00,2378,$1.00 ,"$2,000.00 ",616
NHL,Showdown,NHL Showdown $1K Hip Check (NYI vs SJ),2/24/2022,1106,44.5,0.00,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $5K Hip Check,2/24/2022,1746,103.8,0.00,5945,$1.00 ,"$5,000.00 ",1543
TEN,Single Match,TEN $2.5K Ace [20 Entry Max],2/22/2022,1,388.05,1000.00,2972,$1.00 ,"$2,500.00 ",768
NBA,Showdown Captain Mode,NBA Showdown $10K And-One (GSW vs POR),2/24/2022,10025,172.13,0.00,11890,$1.00 ,"$10,000.00 ",3080
NBA,Classic,NBA $40K And-One [20 Entry Max],2/24/2022,8534,276.5,1.50,47562,$1.00 ,"$40,000.00 ",12830
NHL,Showdown,NHL Showdown $1K Hip Check (LA vs ARI),2/23/2022,523,53.9,0.00,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $5K Hip Check,2/23/2022,2379,107,0.00,5945,$1.00 ,"$5,000.00 ",1543
CBB,Classic,CBB $5K And-One,2/23/2022,1906,221.25,0.00,5945,$1.00 ,"$5,000.00 ",1543
CBB,Classic,CBB $4K And-One [20 Entry Max],2/22/2022,3342,187.5,0.00,4756,$1.00 ,"$4,000.00 ",1103
NHL,Showdown,NHL Showdown $750 Hip Check (SJ vs ANH),2/22/2022,604,86.1,0.00,891,$1.00 ,$750.00 ,204
NHL,Classic,NHL $75 Quarter Jukebox [Just $0.25!],2/22/2022,232,99.2,0.00,356,$0.25 ,$75.00 ,83
NHL,Classic,NHL $7.5K Hip Check,2/22/2022,4018,114.8,0.00,8917,$1.00 ,"$7,500.00 ",2305
NHL,Showdown,NHL Showdown $1K Hip Check (SEA vs VAN),2/21/2022,190,90.2,1.50,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $625 Hip Check [20 Entry Max] (Late),2/21/2022,195,97.7,0.00,743,$1.00 ,$625.00 ,176
CBB,Classic,CBB $750 And-One,2/21/2022,861,146.5,0.00,891,$1.00 ,$750.00 ,204
